party_id,party_name_english,party_name_short,country,year,segment_num,union_party_id,in_union,pervote,economic_lr,economic_lr_se,economic_lr_q025,economic_lr_q975,galtan,galtan_se,galtan_q025,galtan_q975
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1958,1,,0,1.746,0.2117838079625,0.046150758765387684,0.123124775,0.30220934999999993,0.861908660125,0.055636383959378324,0.740094225,0.9519531
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1959,1,,0,,0.21439722256250002,0.05116897328353598,0.119262025,0.3170360749999999,0.86789647625,0.05529128453417289,0.7460910999999999,0.955572
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1960,1,,0,,0.216491239925,0.053438733884887755,0.1176528,0.32465169999999993,0.87390323125,0.05450108405781676,0.75129645,0.9588507
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1961,1,,0,,0.21766724523749997,0.051009160091540086,0.12044047499999999,0.31908239999999993,0.8797612878750001,0.0532626485386234,0.75861645,0.962654625
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1962,1,,0,4.361,0.21878778388749998,0.04449446598307074,0.13113645,0.30574534999999997,0.88558351075,0.05130076315456637,0.767933,0.964600125
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1963,1,,0,,0.21963692155,0.0507477258814184,0.12444917500000001,0.32031039999999983,0.8876069195,0.052212818271117546,0.7667308749999999,0.9667381999999999
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1964,1,,0,,0.21992947905000002,0.052928269464120374,0.120572225,0.32601902499999996,0.889476450375,0.053382864409982855,0.76325965,0.968833825
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1965,1,,0,,0.21916230849999999,0.05100797472815671,0.122347025,0.32062899999999994,0.891618597375,0.05323514522120099,0.765645575,0.970682625
1164,Social Democratic League of Workers and Smallholders,TPSL,FI,1966,1,,0,2.585,0.2181254883875,0.04596903158744852,0.130110725,0.3081956249999999,0.89348334625,0.05342451084064253,0.7666033499999999,0.9720176
4094,Conservative People's Party of Estonia,EKRE,EE,2015,1,,0,8.146,0.54600163875,0.08531448328079724,0.37675205,0.706843875,0.8379996915,0.041645477640982476,0.749582875,0.9127721000000001
4094,Conservative People's Party of Estonia,EKRE,EE,2016,1,,0,,0.5432904733749999,0.08156370496246901,0.381640175,0.7010931749999999,0.8467461896249999,0.039791326164657546,0.7609488500000001,0.9169872499999999
4094,Conservative People's Party of Estonia,EKRE,EE,2017,1,,0,,0.5405608895,0.07322407737803717,0.39760295,0.684091575,0.855191220375,0.037541305270135224,0.7730779750000001,0.92064395
4094,Conservative People's Party of Estonia,EKRE,EE,2018,1,,0,,0.5382778551249999,0.05583756258977806,0.42841885,0.6500821749999999,0.863592385125,0.034198825276938884,0.792708625,0.924779575
4094,Conservative People's Party of Estonia,EKRE,EE,2019,1,,0,17.762,0.548613718375,0.04923270349459275,0.4527062,0.64727885,0.8686418932499999,0.031501001530495544,0.8022663250000001,0.9248179999999999
4094,Conservative People's Party of Estonia,EKRE,EE,2020,1,,0,,0.536536008125,0.06381330567168302,0.411472475,0.660085425,0.8698300292500001,0.032644257526429146,0.801003925,0.9281853
4094,Conservative People's Party of Estonia,EKRE,EE,2021,1,,0,,0.52401089,0.07035581345213389,0.38579355,0.6612551249999999,0.8711862931250001,0.033765111164898456,0.8004543749999999,0.9314595
4094,Conservative People's Party of Estonia,EKRE,EE,2022,1,,0,,0.5138193839999999,0.06862113331468098,0.37905147499999997,0.6479061249999999,0.872528224,0.03380471692459675,0.8009049500000001,0.9323463999999999
4094,Conservative People's Party of Estonia,EKRE,EE,2023,1,,0,,0.5021646995,0.05624290591270945,0.39432697499999997,0.6147816249999999,0.8739395625,0.033046638395395046,0.805003925,0.93305925
4094,Conservative People's Party of Estonia,EKRE,EE,2024,1,,0,,0.5582681215,0.05001466451810753,0.46017470000000005,0.656441175,0.877034406625,0.03153785603450538,0.811002725,0.9344793249999999
599,Alliance for the Future of Austria,BZÖ,AT,2006,1,,0,4.11,0.474338757125,0.05827808984252013,0.3593437,0.588569375,0.729185999375,0.04002624089061892,0.6502448249999999,0.8067264
599,Alliance for the Future of Austria,BZÖ,AT,2007,1,,0,,0.468853706625,0.0742668737335417,0.32552075,0.61602405,0.68780305325,0.061847551039490335,0.559697975,0.8030624000000001
599,Alliance for the Future of Austria,BZÖ,AT,2008,1,,0,10.7,0.46338388225000005,0.059238045820863464,0.346660825,0.577823475,0.6460567397499999,0.05553636036351385,0.5333339500000001,0.7513621
599,Alliance for the Future of Austria,BZÖ,AT,2009,1,,0,,0.567595171125,0.07440018145299358,0.42379415,0.7110728,0.662744381125,0.06381408399779141,0.53346185,0.783042
599,Alliance for the Future of Austria,BZÖ,AT,2010,1,,0,,0.666063562125,0.061153519695854704,0.5476376000000001,0.7874945250000001,0.682770777125,0.044650628637617394,0.5967026,0.7716705749999999
599,Alliance for the Future of Austria,BZÖ,AT,2011,1,,0,,0.6746574052500001,0.0827021513686503,0.504552275,0.830156075,0.66908602375,0.0715587753435333,0.524346275,0.800369525
599,Alliance for the Future of Austria,BZÖ,AT,2012,1,,0,,0.684218723625,0.08814068842397065,0.50696695,0.8486364249999999,0.656823150375,0.07950679512684863,0.49364085,0.79991105
599,Alliance for the Future of Austria,BZÖ,AT,2013,1,,0,,0.6947763197500001,0.0862852850457825,0.5153357249999999,0.85321655,0.646548975125,0.07594318494779671,0.491877175,0.78558825
599,Alliance for the Future of Austria,BZÖ,AT,2014,1,,0,,0.7066298770000001,0.07478700519236497,0.5550598,0.84727875,0.63560040025,0.05587614120408667,0.526950025,0.745853825
